Country,Embassy Name,Embassy Address,Google Maps URL
Aruba,Brazil Food Center,"C3XH+G3F, San Nicolas, Aruba",https://www.google.com/maps/place/?q=place_id:ChIJrTUpiE48hY4RicvBtsrwRGM
Angola,Embassy of Brazil,"R. Houari Boumediene 132, Luanda, Angola",https://www.google.com/maps/place/?q=place_id:ChIJDzPkaDDyURoRJNyViMcDiWk
Åland Islands,Embassy of Brazil,"Itäinen Puistotie 4 B 1, 00140 Helsinki, Finland",https://www.google.com/maps/place/?q=place_id:ChIJv203UMcLkkYRxa2f3FAaLu4
United Arab Emirates,Embassy of Brazil,شارع القُفَّال - Al Bateen - W35 - Abu Dhabi - United Arab Emirates,https://www.google.com/maps/place/?q=place_id:ChIJQ0S952lmXj4RZiYqez609vA
Argentina,Brazilian Embassy (Chancery building),"Cerrito 1350, C1010 CABA, Argentina",https://www.google.com/maps/place/?q=place_id:ChIJj-fIp7DKvJUR0N_BMD1a8Is
Argentina,Brazilian Consulate,"COP, Av. Córdoba 278, N3370 Puerto Iguazú, Misiones, Argentina",https://www.google.com/maps/place/?q=place_id:ChIJ2SH85DOS9pQRpkTaJL_9AAw
Argentina,Consulate General of Brazil,"Av. Ambrosio Olmos 615, Nueva Córdoba, X5000JGB Córdoba, Argentina",https://www.google.com/maps/place/?q=place_id:ChIJSRqeJYyiMpQRRIEj4C3V6qI
Armenia,Embassy of Brazil,"7th floor, office nr 21, 1 Northern Ave, Yerevan 0001, Armenia",https://www.google.com/maps/place/?q=place_id:ChIJm6x2EuO8akAR_im-z5hr-SI
Antarctica,Embassy of the Federative Republic of Brazil,"Nile City - North Tower C – 18th Floor Cairo Egypt، 2005 Nile Corniche, Boulaq Num.4, Bulaq, Cairo Governorate, Egypt",https://www.google.com/maps/place/?q=place_id:ChIJ24r_C8NAWBQRIZyflYCnw14
Australia,Embassy of Brazil in Canberra,"19 Forster Cres, Yarralumla ACT 2600, Australia",https://www.google.com/maps/place/?q=place_id:ChIJvWRqvidNFmsR7KhKP3Y5c6Q
Australia,Consulate General of Brazil,"6/45 Clarence St, Sydney NSW 2000, Australia",https://www.google.com/maps/place/?q=place_id:ChIJ5YKnK0GuEmsRuJNyDhOc8GY
Austria,Embassy of Brazil,"Pestalozzigasse 4, 1010 Wien, Austria",https://www.google.com/maps/place/?q=place_id:ChIJBV9LxHcHbUcReDVMt6z_O74
Azerbaijan,Brazilian Embassy Baku,"62 Uzeyir Hajibeyov, Baku, Azerbaijan",https://www.google.com/maps/place/?q=place_id:ChIJy5iSNr99MEARMyINraSpVJ8
Belgium,Embassy of Brazil,"Bd Saint-Michel 27, 1040 Etterbeek, Belgium",https://www.google.com/maps/place/?q=place_id:ChIJ3RA_ye3Ew0cRCiGdL6YDfuA
Bangladesh,Embassy of Brazil,"Bay´s Edgewater, Ground and 1st Floor, NE 12, North Avenue, Gulshan 2, Dhaka 1212, Bangladesh",https://www.google.com/maps/place/?q=place_id:ChIJV71YpJzHVTcRbNnjNGohdBg
Bangladesh,Embassy of Brazil,"4th Floor, House 9, Avenue, 1212, Road 142, Dhaka, Bangladesh",https://www.google.com/maps/place/?q=place_id:ChIJRRzapZzHVTcRlfKiDViB6Wo
Bulgaria,Embassy F.R. Brazil,"1504, ul. ""Veliko Tarnovo"" 5, 1504 Sofia Center, Sofia, Bulgaria",https://www.google.com/maps/place/?q=place_id:ChIJb7Win52FqkARz9dy71hU0TA
Bahrain,Embassy of Brazil,"6HWG+MVX, Rd 4611, Manama, Bahrain",https://www.google.com/maps/place/?q=place_id:ChIJ-YY7GdilST4RyYwIc-ku1nI
Bahamas,Embassy of Brazil in Nassau,"One Montague Place, 9 E Bay St, Nassau, Bahamas",https://www.google.com/maps/place/?q=place_id:ChIJGySBDgR9L4kRBSJ4tRw8Oo0
Bosnia and Herzegovina,Embassy of Brazil,"Grbavička 4, Sarajevo 71000, Bosnia & Herzegovina",https://www.google.com/maps/place/?q=place_id:ChIJVwraBSDJWEcRRZxYO4ROFag
Belize,Embassy of Brazil in Belmopan,"12 Floral Park Road, Belmopan, Belize",https://www.google.com/maps/place/?q=place_id:ChIJAZxGgGvVXY8Rdif0r_OUOLk
Barbados,Embassy of Brazil,"Hastings Main Rd. Highway 7, Bridgetown, Barbados",https://www.google.com/maps/place/?q=place_id:ChIJU7eDVVH2Q4wRYmJxQw97buw
Botswana,Embassy of Brazil,"8WR9+Q49, Queens Rd, Gaborone, Botswana",https://www.google.com/maps/place/?q=place_id:ChIJP93bm7Zbux4Rz4HjAtWdNJU
Canada,Embassy of Brazil in Ottawa,"450 Rue Wilbrod St, Ottawa, ON K1N 6M8, Canada",https://www.google.com/maps/place/?q=place_id:ChIJBcEXKg4FzkwRnFNJEdjMi2E
Canada,Consulate General Of Brazil,"77 Bloor St W #1109, Toronto, ON M5S 1M2, Canada",https://www.google.com/maps/place/?q=place_id:ChIJg9qkxK80K4gRwc2ovF0O3BY
Canada,Consulate General Of Brazil,"1111 Melville St #1050, Vancouver, BC V6E 3V6, Canada",https://www.google.com/maps/place/?q=place_id:ChIJicCX84FxhlQRfx-2dF0_o6g
Canada,Consulate General of Brazil in Montreal,"1 Carr Westmount #1700, Westmount, QC H3Z 2P9, Canada",https://www.google.com/maps/place/?q=place_id:ChIJGTMi0nIayUwRt2VqzZwZ-Gs
Canada,Embassy of Brazil Offices,"5 Ave Blackburn, Ottawa, ON K1N 8A2, Canada",https://www.google.com/maps/place/?q=place_id:ChIJtzM9_3kFzkwRaLv9Q0K8x_Y
Switzerland,Consulate General of Brazil in Zurich,"Stampfenbachstrasse 138, 8006 Zürich, Switzerland",https://www.google.com/maps/place/?q=place_id:ChIJ4XxNqgwKkEcRMuBzwXfIVvA
Chile,Consulate General of Brazil in Santiago,"Los Militares 6191, Las Condes, Región Metropolitana, Chile",https://www.google.com/maps/place/?q=place_id:ChIJo7Ws5NvOYpYR3noBKEI81MY
China,Embassy of the Federative Republic of Brazil,"China, Beijing, Chaoyang, 光华路27号 邮政编码: 100005",https://www.google.com/maps/place/?q=place_id:ChIJOWZv9iOt8TUR9_XEG-V5G-0
