Country,Embassy Name,Embassy Address,Google Maps URL
Angola,Embassy of Egypt,"R. Cmte. Stona 247, Luanda, Angola",https://www.google.com/maps/place/?q=place_id:ChIJfaLuxrDzURoR1P0GR_rBE9A
Åland Islands,"Consulate General of Egypt in Eilat, Israel","Efroni St 68, Eilat, Israel",https://www.google.com/maps/place/?q=place_id:ChIJH-tglRtyABURIcEGGv7E6SM
Albania,Embassy of the Arab Republic of Egypt in Albania,"Rruga Xibrakeve, Tirana 1001, Albania",https://www.google.com/maps/place/?q=place_id:ChIJG0oRvxUxUBMRk_L_4S3GdzU
Armenia,Embassy of Egypt,"10, 4 17th Street, Yerevan 0028, Armenia",https://www.google.com/maps/place/?q=place_id:ChIJ4aYhqW29akARLFjCFgMaA6k
American Samoa,Embassy of Egypt,"Basel St 54, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJw6AW54xLHRURtACrj2iQlVE
Antarctica,Embassy of Egypt,"Basel St 54, Tel Aviv-Yafo, Israel",https://www.google.com/maps/place/?q=place_id:ChIJw6AW54xLHRURtACrj2iQlVE
Antarctica,Consulate of Egypt in Jeddah,"H599+28G, Ibn Abi Hafsah, Ar Rawdah, Jeddah 23434, Saudi Arabia",https://www.google.com/maps/place/?q=place_id:ChIJaz7VJGzQwxURa_9XT7Qyh4k
Antigua and Barbuda,Embassy of Egypt,"3521 International Ct NW, Washington, DC 20008, United States",https://www.google.com/maps/place/?q=place_id:ChIJB76KksXJt4kR8Q6wDQp29a0
Australia,Embassy of the Arab Republic of Egypt,"1 Darwin Ave, Yarralumla ACT 2600, Australia",https://www.google.com/maps/place/?q=place_id:ChIJXbed_9dMFmsR2j7Z_GquAE4
Austria,Egyptian Embassy in Vienna,"Hohe Warte 54, 1190 Wien, Austria",https://www.google.com/maps/place/?q=place_id:ChIJYz33tSMGbUcRWCQw76dG13g
Azerbaijan,Embassy of Egypt In Azerbaijan,"7 Academician Hasan Aliyev St, Baku, Azerbaijan",https://www.google.com/maps/place/?q=place_id:ChIJ7ys1zYF9MEAR0mRU3RkNyPs
Burundi,Embassy of Egypt,"H9X5+VC2, Ave Nzero, Bujumbura, Burundi",https://www.google.com/maps/place/?q=place_id:ChIJn50bwDGDwRkRhNOaTRm768A
Belgium,Embassy of the Arab Republic of Egypt,"Av. de l'Uruguay 19, 1000 Bruxelles, Belgium",https://www.google.com/maps/place/?q=place_id:ChIJDdBhUCnFw0cRdguWD0KMDII
