Country,Embassy Name,Embassy Address,Google Maps URL
Afghanistan,"Embassy of France, Monaco","Roc Fleuri, 1 rue du Ténao Le Roc fleuri, 1 Rue de Tenao, 98000 Monaco",https://www.google.com/maps/place/?q=place_id:ChIJCZK83XnCzRIR_Je8pl9jzAs
Afghanistan,Ambassade de France,"Jadayi Sulh, Kabul, Afghanistan",https://www.google.com/maps/place/?q=place_id:ChIJnR2OwbFu0TgROX8aXrGg3jo
Angola,Embassy of France,"R. Rev. Agostinho Pedro Neto 31-33, Luanda, Angola",https://www.google.com/maps/place/?q=place_id:ChIJL9uzFUzyURoR4RMd2JBFHpU
Albania,Embassy of France,"Rruga Skënderbej 14 Tirana AL, 1000, Albania",https://www.google.com/maps/place/?q=place_id:ChIJq7KjFAgxUBMRMK-ep9UsCPA
Andorra,Ambassade de France,"Carrer les Canals, 38, AD500 Andorra la Vella, Andorra",https://www.google.com/maps/place/?q=place_id:ChIJV7DeOtKKpRIRq4K5oG7q0OE
United Arab Emirates,Embassy of France,Etihad Towers Office Tower n°3 Office Tower n°3 - Corniche W St - Abu Dhabi - United Arab Emirates,https://www.google.com/maps/place/?q=place_id:ChIJI2sdOaBoXj4R-8YPC5uvrXk
United Arab Emirates,Consulat Général de France / Consulate General of France / القنصلية العامة الفرنسية,Habtoor Business Tower - 32e étage - Dubai - United Arab Emirates,https://www.google.com/maps/place/?q=place_id:ChIJzYH3x1NrXz4RlvKGU3esxMA
Argentina,"Embassy of France, Buenos Aires","Cerrito 1399, C1010 CABA, Argentina",https://www.google.com/maps/place/?q=place_id:ChIJq8OksYwto5URmuHgp6HXCnM
Argentina,Consulate General of France,"Basavilbaso 1253, C1006AAA CABA, Argentina",https://www.google.com/maps/place/?q=place_id:ChIJBWvaQLbKvJURq2ts4cvmGaQ
Armenia,Embassy of France,"8 rue Saint Grigor Loussavoritch, Yerevan 0015, Armenia",https://www.google.com/maps/place/?q=place_id:ChIJ5Wd9vle8akARk2fp1B1VhRg
Australia,Embassy of France,"6 Perth avenue Yarralumla, Canberra ACT 2600, Australia",https://www.google.com/maps/place/?q=place_id:ChIJHTwmiidNFmsRSIRZ8XuQND0
Australia,Consulat Général de France / Consulate General of France,"Level 26, St Martins Tower, 31 Market St, Sydney NSW 2000, Australia",https://www.google.com/maps/place/?q=place_id:ChIJ87aQ3T6uEmsRybazVluy5fI
Australia,Consulate Of France,"4/105 Broadway, Nedlands WA 6009, Australia",https://www.google.com/maps/place/?q=place_id:ChIJbaOdU_qkMioRRgP1hGyG1KQ
Australia,L’Agence Consulaire de France d’Adélaïde,"49 Oxford Terrace, Unley SA 5061, Australia",https://www.google.com/maps/place/?q=place_id:ChIJvb7_0cfOsGoRXpibzViMf-g
Australia,Honorary Consulate General of France,"342A St Kilda Rd, Melbourne VIC 3004, Australia",https://www.google.com/maps/place/?q=place_id:ChIJ792u7qhC1moRy8wLpJHLhpg
Austria,"Embassy of France, Vienna","Technikerstraße 2, 1040 Wien, Austria",https://www.google.com/maps/place/?q=place_id:ChIJX2VrFXgHbUcRwEtlG-N_saY
Burundi,Embassy of France,"60 Bd de l'Uprona, Bujumbura, Burundi",https://www.google.com/maps/place/?q=place_id:ChIJI4rMnx2DwRkRPajJeRAn8c8
Belgium,Ambassade de France,"Rue Ducale 65, 1000 Bruxelles, Belgium",https://www.google.com/maps/place/?q=place_id:ChIJIdYMmoPEw0cR3rH7ADyKMqE
Belgium,Consulat Général de Carrière France Antwerpen,"Belgiëlei 134, 2018 Antwerpen, Belgium",https://www.google.com/maps/place/?q=place_id:ChIJHbJ6aNv2w0cRRikebgZ22Gw
Benin,Embassy of France,"2235 Ave Jean-Paul II, Cotonou, Benin",https://www.google.com/maps/place/?q=place_id:ChIJL81fC1FUIxARUL5hKp-xu6Q
Benin,Résidence de France,"9C27+GF9, Boulevard de la Marina, Cotonou, Benin",https://www.google.com/maps/place/?q=place_id:ChIJzZ7adlpVIxAR9N3zQzw-RBE
"Bonaire, Sint Eustatius and Saba",Ambassade de France / Embassy of France,"Nelson Mandela Drive Vigie Castries, St. Lucia",https://www.google.com/maps/place/?q=place_id:ChIJ6RklV8JnQIwRTfzeOjHG_z8
Burkina Faso,Embassy of France,"01 Rue de l'Hospitalité, Quartier Koulouba Entrée visiteurs - face à la RTB-Télévision, Ouagadougou, Ouagadougou, Burkina Faso",https://www.google.com/maps/place/?q=place_id:ChIJuyCZTDu-Lg4R486eNOcKFxU
Bangladesh,Embassy of France,"Diplomatic Enclave, Madani Ave, Dhaka 1212, Bangladesh",https://www.google.com/maps/place/?q=place_id:ChIJ41bgsbrHVTcRqgUUxoMkgeA
Bulgaria,Embassy of the Republic of France,"27, rue Oborichté 29, 1504 Sofia, Bulgaria",https://www.google.com/maps/place/?q=place_id:ChIJYwzAep2FqkARq4Mowhxnw0g
Bahrain,Embassy of France,"Villa 51 A, Rd No 1901, Manama, Bahrain",https://www.google.com/maps/place/?q=place_id:ChIJL0_631SvST4RJwqc2D697lQ
Bahrain,France Visa Application Center,"Road 1722, 1565, 18th Floor, Diplomatic Commercial Offices Tower, Manama, Bahrain",https://www.google.com/maps/place/?q=place_id:ChIJZ9huPJ-lST4RzDxrW6pgPOA
Saint Barthélemy,Ambassade de France / Embassy of France,"Nelson Mandela Drive Vigie Castries, St. Lucia",https://www.google.com/maps/place/?q=place_id:ChIJ6RklV8JnQIwRTfzeOjHG_z8
Belarus,Embassy of France,"la Liberté, 11, place de, Minsk 220030, Belarus",https://www.google.com/maps/place/?q=place_id:ChIJ9cDWVOrP20YRgvKGnnS0O80
"Bolivia, Plurinational State of",ambassador of France to Bolivia,"Obrajes, Calle 8 N° 5390 entre Siles y Ormachea, La Paz, Bolivia",https://www.google.com/maps/place/?q=place_id:ChIJ2fA6Qe8gX5ERzJd0XHaBQxc
Brunei Darussalam,Embassy of France,"Yayasan Sultan Haji Hassanal Bolkiah Complex Unit 2.01, Block A, 2ème étage, Jln Pretty, Bandar Seri Begawan BS8711, Brunei",https://www.google.com/maps/place/?q=place_id:ChIJ4-4yntGKIjIRghggiMkIiHk
