Country,Embassy Name,Embassy Address,Google Maps URL
Aruba,Embassy of the Federal Republic of Germany,"2 Berlin St, Al Gabalayah, Zamalek, Cairo Governorate 4270101, Egypt",https://www.google.com/maps/place/?q=place_id:ChIJ6Z-7vuBAWBQRzMXMOdBfsmQ
Afghanistan,Embassy of Germany,"G5JJ+Q4M, 6th Street, Kabul, Afghanistan",https://www.google.com/maps/place/?q=place_id:ChIJVZL3FrBu0TgRTswsaLiroCE
Åland Islands,Embassy of Germany,"Krogiuksentie 4, 00340 Helsinki, Finland",https://www.google.com/maps/place/?q=place_id:ChIJieLx3wgKkkYRt1JiJS8mWYU
Albania,Embassy of Germany,"8RH5+P54, Tirana, Albania",https://www.google.com/maps/place/?q=place_id:ChIJRZNo4QcxUBMRCpievB46rII
United Arab Emirates,Consulate General of Germany,67C4+WWR - 8A St - Jumeirah - Jumeirah 1 - Dubai - United Arab Emirates,https://www.google.com/maps/place/?q=place_id:ChIJ-268ZUVCXz4RnbyLoyvrZGM
Armenia,Embassy of Germany,"29 Charents St, Yerevan 0025, Armenia",https://www.google.com/maps/place/?q=place_id:ChIJy5Ngz-68akARPya0K396ReA
American Samoa,Honorary Consulate of the Federal Republic of Germany,"Witikonerstr. 15, 8032 Zürich, Switzerland",https://www.google.com/maps/place/?q=place_id:ChIJtXlkhgIKkEcRK9fX18yS3ZM
Antarctica,Embassy of the Federal Republic of Germany,"2 Berlin St, Al Gabalayah, Zamalek, Cairo Governorate 4270101, Egypt",https://www.google.com/maps/place/?q=place_id:ChIJ6Z-7vuBAWBQRzMXMOdBfsmQ
Austria,Honorary Consulate of the Federal Republic of Germany,"Dreifaltigkeitsgasse 11, 5020 Salzburg, Austria",https://www.google.com/maps/place/?q=place_id:ChIJG4xAVqGadkcRy1oKGWaupr4
Azerbaijan,Embassy of Germany,"69 Nizami St, Baku 1005, Azerbaijan",https://www.google.com/maps/place/?q=place_id:ChIJI4Fi6gZ9MEARTLYLGVow6DM
Burundi,Embassy of Germany,"B.P. 480, 22 Av. du 18 Septembre, Bujumbura, Burundi",https://www.google.com/maps/place/?q=place_id:ChIJK6eTexeDwRkR9F1Eqr7UWKE
Benin,Embassy of Germany,"2235 Ave Jean-Paul II, Cotonou, Benin",https://www.google.com/maps/place/?q=place_id:ChIJq5gfrnlVIxARMgbcEMVz8MY
Bangladesh,Embassy of the Federal Republic of Germany,"Diplomatic Enclave, 11 Madani Ave, Dhaka 1212, Bangladesh",https://www.google.com/maps/place/?q=place_id:ChIJU1ntHKjHVTcR7Rq7EgJfSCY
