Country,Embassy Name,Embassy Address,Google Maps URL
Afghanistan,Embassy of Iran,"G5JG+837, Shir Ali Khan Rd, Kabul, Afghanistan",https://www.google.com/maps/place/?q=place_id:ChIJc3ETyLBu0TgRI12TpfIdlaA
Afghanistan,Islamic Republic Of Iran Consulate,"M4V8+PFG, Mazar-i-Sharif, Afghanistan",https://www.google.com/maps/place/?q=place_id:ChIJpYkbt7-4ND8RHXZfWv-WpeQ
Afghanistan,Islamic Republic Of Iran General Consulate,"86X6+F27, Herat, Afghanistan",https://www.google.com/maps/place/?q=place_id:ChIJlZNoAPzmPD8RPGf6XR4X3ig
Åland Islands,Embassy of Iran,"1 Budaghyan St, Yerevan 0014, Armenia",https://www.google.com/maps/place/?q=place_id:ChIJ2fRTuTa9akARrYMgAPZKp0o
Albania,Iranian Embassy In Albania,"8RCF+X65, Rruga Mustafa Matohiti, Tiranë, Albania",https://www.google.com/maps/place/?q=place_id:ChIJzy3ZjBsxUBMR0zhkihC841s
Andorra,Embassy of Iran,"C. de Jerez, 5, 28016 Madrid, Spain",https://www.google.com/maps/place/?q=place_id:ChIJtcu2riQpQg0RbHXJn6NvEJo
United Arab Emirates,Embassy of Iran,"CCCQ+QVP - Air port road, Near pepsicola companyAl Karamah Street - Abu Dhabi - United Arab Emirates",https://www.google.com/maps/place/?q=place_id:ChIJNwsaGnFCXj4RlXZkZm9PPqo
United Arab Emirates,Consulate General of The Islamic Republic of Iran,Al Wasl Road 256 - United Arab Emirates,https://www.google.com/maps/place/?q=place_id:ChIJhUMIFldCXz4RHkqhdzoBiVk
Argentina,Consulado de Iran,"Ombú 2930, C1425 CABA, Argentina",https://www.google.com/maps/place/?q=place_id:ChIJl2i29GO1vJURjDDietmQla4
Armenia,Embassy of Iran,"1 Budaghyan St, Yerevan 0014, Armenia",https://www.google.com/maps/place/?q=place_id:ChIJ2fRTuTa9akARrYMgAPZKp0o
Antarctica,Iran Embassy,"12 ميدان المساحة, Ad Doqi, Giza District, Giza Governorate 3750313, Egypt",https://www.google.com/maps/place/?q=place_id:ChIJb3wyvbtGWBQRi1cSJg5PqGQ
French Southern Territories,Embassy of the Islamic Republic of Iran,"4 Av. d'Iéna, 75116 Paris, France",https://www.google.com/maps/place/?q=place_id:ChIJMzOGb-Rv5kcRPZ7HeOQ8c7c
Australia,Embassy of the Islamic Republic of Iran,"25 Culgoa Cct, O'malley ACT 2606, Australia",https://www.google.com/maps/place/?q=place_id:ChIJVVXFwkxLFmsRfP1KXQE5wp4
Austria,Botschaft der Islamischen Republik Iran Wien,"Jaurèsgasse 9, 1030 Wien, Austria",https://www.google.com/maps/place/?q=place_id:ChIJF_6dlHoHbUcRvOuhCy99XJE
Austria,Iran Embassy Residence,"Wenzgasse 2, 1130 Wien, Austria",https://www.google.com/maps/place/?q=place_id:ChIJvyF79cynbUcRICGQ74A7SMI
Azerbaijan,Iran Embassy,"9R9J+279, Bunyad Sardarov, Baku, Azerbaijan",https://www.google.com/maps/place/?q=place_id:ChIJ__9Pycl9MEAR2o1UHgQeKHw
Azerbaijan,Iran consulate in baku,"9RQ3+642, Baku, Azerbaijan",https://www.google.com/maps/place/?q=place_id:ChIJb2EwVZl9MEARgpQK81EiNTU
Belgium,Iran Embassy,"Av. Franklin Roosevelt 15, 1050 Ixelles, Belgium",https://www.google.com/maps/place/?q=place_id:ChIJJWSJWHLbw0cRhJXd6jr62q8
Benin,Iranian Embassy,"Ikoyi 106104, Lagos, Nigeria",https://www.google.com/maps/place/?q=place_id:ChIJK0SBg3L1OxAR7JgWW335HAY
Benin,Embassy of The Islamic Replubic of Iran,"FC4W+376, Alexander Ave, Ikoyi 106104, Lagos, Nigeria",https://www.google.com/maps/place/?q=place_id:ChIJVVWVG-z0OxARAvvY-ALoaT8
"Bonaire, Sint Eustatius and Saba",Consulate General of Iran's Islamic audience,"FVV2+5FQ, Basrah, Iraq",https://www.google.com/maps/place/?q=place_id:ChIJme1ZyMiQxD8RstYQq4hLQGQ
Bangladesh,Embassy of the I.R Iran,"RC28+G62, Rd No 75, Dhaka 1212, Bangladesh",https://www.google.com/maps/place/?q=place_id:ChIJz48x_ajHVTcRK4-Y8CyGLpc
Bangladesh,High Commission of Iran,"RC28+F2J, Rd No 75, Dhaka 1212, Bangladesh",https://www.google.com/maps/place/?q=place_id:ChIJq6qq_6jHVTcRakbse6zNiqk
Bulgaria,Posolstvo Na Islyamska Republika Iran,"Boulevard ""Simeonovsko Shose 55, 1700 Studentski Kompleks, Sofia, Bulgaria",https://www.google.com/maps/place/?q=place_id:ChIJLaXt1xWEqkARrWLoBKgQYk8
Bahrain,Embassy of Iran,"6H5H+8WQ, Manama, Bahrain",https://www.google.com/maps/place/?q=place_id:ChIJF0HckzyvST4RsQgVc07LFtY
Bahrain,Iranian Embassy,"6GPW+R8F, Rd No 2849, Seef, Bahrain",https://www.google.com/maps/place/?q=place_id:ChIJJ7G3SnClST4RINTKOcJ4-Mk
Bosnia and Herzegovina,Embassy of the Islamic Republic of Iran,"Obala Maka Dizdara 6, Sarajevo 71000, Bosnia & Herzegovina",https://www.google.com/maps/place/?q=place_id:ChIJ8ZEUz8TIWEcRSTZQIU-fsPc
Belarus,Embassy of Iran,"Staravilienski trakt 41а, Minsk, Belarus",https://www.google.com/maps/place/?q=place_id:ChIJ0bKbVobP20YRNJzZj1N-uGQ
Central African Republic,Consulate General of Iran's Islamic audience,"FVV2+5FQ, Basrah, Iraq",https://www.google.com/maps/place/?q=place_id:ChIJme1ZyMiQxD8RstYQq4hLQGQ
Central African Republic,Iran Embassy,"9R9J+279, Bunyad Sardarov, Baku, Azerbaijan",https://www.google.com/maps/place/?q=place_id:ChIJ__9Pycl9MEAR2o1UHgQeKHw
Canada,"Embassy of the Islamic Republic of Iran, Ottawa","245 Metcalfe St, Ottawa, ON K2P 2K2, Canada",https://www.google.com/maps/place/?q=place_id:ChIJoSGjr64FzkwRYi9pmsixQrE
Cocos (Keeling) Islands,Embassy of Iran,"1 Budaghyan St, Yerevan 0014, Armenia",https://www.google.com/maps/place/?q=place_id:ChIJ2fRTuTa9akARrYMgAPZKp0o
Switzerland,Botschaft der Islamischen Republik Iran,"Thunstrasse 68, 3006 Bern, Switzerland",https://www.google.com/maps/place/?q=place_id:ChIJqQ1YCtc5jkcR6qOxY7kbTRw
Congo,Ambassade de la Republic Islamic d'Iran,"M7VV+6V6, Kinshasa, Congo - Kinshasa",https://www.google.com/maps/place/?q=place_id:ChIJZZN8v3kzahoR9aNsC0obZdM
Colombia,Embassy of Iran,"Cl. 96 #11A-20, Bogotá, Colombia",https://www.google.com/maps/place/?q=place_id:ChIJYQkaFZGaP44R_YXk5n4zlBI
