Country,Embassy Name,Embassy Address,Google Maps URL
Anguilla,U.S. Embassy Israel,"David Flusser St 14, Jerusalem",https://www.google.com/maps/place/?q=place_id:ChIJS5lh8xkoAxURvBJSr9lDk10
Argentina,U.S. Embassy Israel,"David Flusser St 14, Jerusalem",https://www.google.com/maps/place/?q=place_id:ChIJS5lh8xkoAxURvBJSr9lDk10
Argentina,Embajada de Israel,"Av. de Mayo 701, C1070 CABA, Argentina",https://www.google.com/maps/place/?q=place_id:ChIJAxcRzNPKvJURdTfUenR6Yxg
Armenia,Israeli Consulate in Armenia,"47 Komitas Ave, Yerevan, Armenia",https://www.google.com/maps/place/?q=place_id:ChIJhy08k8S9akAR7vv4PgATpE8
Australia,Embassy of Israel,"6 Turrana St, Yarralumla ACT 2600, Australia",https://www.google.com/maps/place/?q=place_id:ChIJt_k0OddMFmsRsRbjLPb3xI4
Austria,Embassy of Israel in Austria,"Anton-Frank-Gasse 20, 1180 Wien, Austria",https://www.google.com/maps/place/?q=place_id:ChIJF-TVVdEHbUcRzSiIdZwBNuw
Azerbaijan,Israeli Embassy,"Hyatt tower 3, 1033 Izmir, Bakı, Azerbaijan",https://www.google.com/maps/place/?q=place_id:ChIJkXkCgYN9MEAR0vD_NS3IagI
Belgium,Ambassade d'Israel,"Av. de l'Observatoire 40, 1180 Uccle, Belgium",https://www.google.com/maps/place/?q=place_id:ChIJP-w7fB7Fw0cRWvzo6M0uFmo
Benin,Embassy of the State of Israel,"HRJG+JP6, First Circular Rd, Accra, Ghana",https://www.google.com/maps/place/?q=place_id:ChIJj5S8oJSa3w8R2hvSlitDYmA
Bulgaria,Embasy of Israel,"Boulevard ""Shipchenski Prohod"" бул. „Шипченски проход, 1113 Sofia Center, Sofia, Bulgaria",https://www.google.com/maps/place/?q=place_id:ChIJHyWYvA-FqkARPx0uCX8kvNE
Bosnia and Herzegovina,Embassy of Israel in Serbia,"Bulevar kneza Aleksandra Karađorđevića 47, Beograd, Serbia",https://www.google.com/maps/place/?q=place_id:ChIJKQmJI6BxWkcRB64XMRbZntg
Belarus,Embassy of Israel,"Partizanskiy Prospekt 6а, Minsk, Minskaja voblasć, Belarus",https://www.google.com/maps/place/?q=place_id:ChIJ34LjIS3O20YRGXK-AJs9r30
Brazil,Embaixada de Israel no Brasil (Israel Embassy),"St. de Embaixadas Sul 809 Lote 38 - Asa Sul, Brasília - DF, 70424-900, Brazil",https://www.google.com/maps/place/?q=place_id:ChIJV0M4HpswWpMRTiGYL0iV8aY
Barbados,Zion House of Israel Temple,"4C79+HM6, Neils Road, Highway 4, Rouen, Barbados",https://www.google.com/maps/place/?q=place_id:ChIJ8YWbJ7f2Q4wRxHJKX4rIgh0
Canada,Embassy of Israel,"50 O'Connor St, Ottawa, ON K1P 6L2, Canada",https://www.google.com/maps/place/?q=place_id:ChIJv9GDEVUEzkwR_WSQoqErt6E
Switzerland,Embassy of Israel,"Alpenstrasse 32, 3006 Bern, Switzerland",https://www.google.com/maps/place/?q=place_id:ChIJfXQ0Utc5jkcR0PQASv_4PMQ
China,Embassy of Israel in China,"China, Beijing, Chaoyang, 天泽路17号 邮政编码: 100125",https://www.google.com/maps/place/?q=place_id:ChIJO_xKNYCr8TURhruQ0p-ZRM4
Côte d'Ivoire,Embassy of Israel,"8XFJ+9M7, Rue Lecoeur, Abidjan, Côte d’Ivoire",https://www.google.com/maps/place/?q=place_id:ChIJ4-1KALrrwQ8RzXo5Tr2vE_M
