Country,Embassy Name,Embassy Address,Google Maps URL
Aruba,Embassy of Turkey,"35 Ilia Chavchavadze Avenue, Tbilisi 0179, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJ81EVOzFzREARn82ejvWkfjk
Afghanistan,Embassy of Turkey,"Turkish Embassy, Sulh Rd, Kabul, Afghanistan",https://www.google.com/maps/place/?q=place_id:ChIJpfk5-bBu0TgRne9m6iemuYQ
Angola,Embassy of Turkey,"Av. Pedro de Castro Van-Dúnem Loy 535, Luanda, Angola",https://www.google.com/maps/place/?q=place_id:ChIJZ2aPZOT0URoRIImNEBWevTA
Åland Islands,Embassy of Turkey,"59M5+9MG, Lefkoşa 99010",https://www.google.com/maps/place/?q=place_id:ChIJCxcTAkgX3hQRWLhjUlmjEMo
Åland Islands,Embassy of Turkey,"35 Ilia Chavchavadze Avenue, Tbilisi 0179, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJ81EVOzFzREARn82ejvWkfjk
Albania,Embassy of Turkey,"8R7P+Q57, Tirana, Albania",https://www.google.com/maps/place/?q=place_id:ChIJddXcXN8wUBMRNS4XXohcKEc
United Arab Emirates,Embassy of Turkey,"Villa No:1,W59-02 /1,Embassy’s Area - Abu Dhabi - United Arab Emirates",https://www.google.com/maps/place/?q=place_id:ChIJ3QqZkNdpXj4RbZ1IUKw4Fmc
United Arab Emirates,Consulate-General of Turkey,"29th Floor, Dubai World Trade Center Building، Sheikh Zayed Road - United Arab Emirates",https://www.google.com/maps/place/?q=place_id:ChIJzfoBd-lCXz4RVXXbWjnvwtg
American Samoa,Embassy of Turkey,"35 Ilia Chavchavadze Avenue, Tbilisi 0179, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJ81EVOzFzREARn82ejvWkfjk
Antarctica,Embassy of Turkey,"25 El-Falaky St، Bab El-Louk, El Sayeda Zeinab, Cairo Governorate 4262124, Egypt",https://www.google.com/maps/place/?q=place_id:ChIJc9wAk8lAWBQRqqpUIHlWpiI
Antigua and Barbuda,Embassy of Turkey,"35 Ilia Chavchavadze Avenue, Tbilisi 0179, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJ81EVOzFzREARn82ejvWkfjk
Australia,Embassy of Turkey,"35 Ilia Chavchavadze Avenue, Tbilisi 0179, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJ81EVOzFzREARn82ejvWkfjk
Australia,Embassy of Turkey,"6 Moonah Pl, Yarralumla ACT 2600, Australia",https://www.google.com/maps/place/?q=place_id:ChIJmWJnptlMFmsRL_A4wR1iI0U
Australia,Consulate General of Turkey,"Level 8/24 Albert Rd, South Melbourne VIC 3205, Australia",https://www.google.com/maps/place/?q=place_id:ChIJ5eq6EKhC1moR6Rl9r4aIGNc
Austria,Embassy of the Republic of Turkey,"Prinz-Eugen-Straße 40, 1040 Wien, Austria",https://www.google.com/maps/place/?q=place_id:ChIJL6IFFHwHbUcR__M-Mbl6N_E
Belgium,Consulate General of Turkey,"Sorbenlaan 16, 2610 Antwerpen, Belgium",https://www.google.com/maps/place/?q=place_id:ChIJDWoHBi3xw0cRQ7IAoQLPkao
"Bonaire, Sint Eustatius and Saba",Embassy of Turkey,"35 Ilia Chavchavadze Avenue, Tbilisi 0179, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJ81EVOzFzREARn82ejvWkfjk
Bangladesh,Turkey Embassy,"7 Rd No.2, Dhaka 1212, Bangladesh",https://www.google.com/maps/place/?q=place_id:ChIJzRR9UgbHVTcRbMgr4orM4yc
Bulgaria,Embassy of the Republic of Turkey,"1000, Vasil Levski Blvd 80, 1142 Sofia, Bulgaria",https://www.google.com/maps/place/?q=place_id:ChIJ1cWzLwuFqkARahyhyGu9On8
Bulgaria,General Consulate of Turkey,"ul. ""Filip Makedonski"" 10, 4000 Tsentar, Plovdiv, Bulgaria",https://www.google.com/maps/place/?q=place_id:ChIJCyZylbDRrBQRyqtsFD8M4yI
Bahrain,Embassy of Turkey,"Villa 924 Road 3219, Manama, Bahrain",https://www.google.com/maps/place/?q=place_id:ChIJW7UMSTuvST4RzJEOonx_EUc
Bosnia and Herzegovina,Embassy of the Republic of Turkey,"Vilsonovo šetalište bb, Sarajevo 71000, Bosnia & Herzegovina",https://www.google.com/maps/place/?q=place_id:ChIJRb9kQNvIWEcRavdmVC0yh58
Saint Barthélemy,Embassy of Turkey,"35 Ilia Chavchavadze Avenue, Tbilisi 0179, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJ81EVOzFzREARn82ejvWkfjk
Belarus,Embassy of Turkey,"vulica Valadarskaha 6, Minsk 220030, Belarus",https://www.google.com/maps/place/?q=place_id:ChIJlUwsQ-jP20YROpZI-QeOpek
"Bolivia, Plurinational State of",Embassy of Turkey,"35 Ilia Chavchavadze Avenue, Tbilisi 0179, Georgia",https://www.google.com/maps/place/?q=place_id:ChIJ81EVOzFzREARn82ejvWkfjk
